Text,Source,Label,URL
"Compreendo a dor e a revolta de milhões ao verem, de repente, que são governados por um bandido ex-presidiário! Sinto o mesmo! Mas a democracia tem regras próprias e é na arena democrática que o combate tem de ser travado, não com violência!",André Ventura,Falso,https://www.publico.pt/2023/01/10/politica/noticia/imagem-lula-silva-algemado-partilhada-andre-ventura-verdadeira-2034525
“O SNS tem hoje cerca de 4300 médicos especialistas mais do que tinha no final de 2015”.,"Manuel Pizarro, ministro da Saúde",Verdadeiro,https://www.publico.pt/2022/12/09/sociedade/noticia/sns-actualmente-medicos-especialistas-final-2015-2030840
"""Não tinha de me pronunciar nem ter conhecimento dessas matérias porque a Assembleia da República é que tem a última palavra [sobre o discurso de Lula da Silva na sessão do 25 de Abril]”","Marcelo Rebelo de Sousa, Presidente da República",Verdadeiro,https://www.publico.pt/2023/03/03/politica/noticia/verdade-nao-marcelo-anunciar-discurso-lula-sessao-25-abril-2041026
"Vídeo de pára-quedistas russos a aterrarem em Kharkiv, na Ucrânia, é recente.
Russian military paratroopers land in Ukraine, near Kharkov.#Ukraine #Russia #RussiaUkraine #war pic.twitter.com/cNzCLZd7BN
A Rússia lançou na madrugada desta quinta-feira uma ofensiva militar em território da Ucrânia, com forças terrestres e bombardeamento de alvos em várias cidades, que as autoridades ucranianas dizem ter provocado dezenas de mortos nas primeiras horas.",twitter,Falso,https://www.publico.pt/2022/02/24/mundo/noticia/video-paraquedistas-russos-aterrarem-kharkiv-ucrania-recente-1996685
"“Eu creio que com excepção do Aeroporto da Madeira, não houve nenhum projecto de interesse comum de tal dimensão onde qualquer Governo da República tenha decido apoiar a região autónoma da Madeira.”",António Costa,Falso,https://www.publico.pt/2021/09/24/politica/noticia/estado-apoiou-madeira-ampliacao-aeroporto-1978688
"“Nós temos, em Portugal, quase um milhão de pessoas que ganha o salário mínimo nacional.”","Luís Montenegro, presidente do PSD",Verdadeiro,https://www.publico.pt/2022/08/19/politica/noticia/existe-quase-milhao-pessoas-receber-salario-minimo-afirmou-montenegro-2017649
Já defendo o referendo sobre a eutanásia há quase dez anos.,"Luís Montenegro, presidente do PSD",Parcialmente verdadeiro,https://www.publico.pt/2022/12/06/politica/noticia/luis-montenegro-defende-referendo-eutanasia-ha-quase-10-anos-2030368
“Tenho uma regra de não comentar no exterior assuntos de política nacional”.,"António Costa, primeiro-ministro",Parcialmente verdadeiro,https://www.publico.pt/2022/06/30/politica/noticia/costa-regra-nao-comentar-assuntos-nacionais-estrangeiro-2011997
"“Já tivemos um Presidente da República, Jorge Sampaio, que não deu posse a Paulo Portas na pasta dos Negócios Estrangeiros porque não poderia representar Portugal de uma forma coerente junto da UE”",,Verdadeiro,https://www.publico.pt/2020/12/18/politica/noticia/verdade-jorge-sampaio-recusou-dar-posse-paulo-portas-1943566
"“O Governo procedeu à assinatura de protocolos com Câmaras Municipais e organizações de proprietários e produtores florestais, visando a criação de Áreas Integradas de Gestão da Paisagem [AIGP] que previssem a implementação de operações integradas de gestão da paisagem. (...) Contudo, nada está feito, nada está implementado excepto aquilo que já estava feito pelas ZIF [zonas de intervenção florestal] e outras organizações já anteriormente existentes”.",Comunicado do PSD-Leiria,Parcialmente verdadeiro,https://www.publico.pt/2022/06/18/sociedade/noticia/areas-integradas-gestao-paisagem-nao-executaram-nova-gestao-2010466
"“Nunca houve tantos casos na Europa, num único dia, como há agora.”","Graça Freitas, directora-geral da Saúde, 14 de Novembro de 2021",Verdadeiro,https://www.publico.pt/2021/11/15/sociedade/noticia/casos-covid19-europa-1985039
"Não disse, como Angela Merkel, disse ‘não há natal’. E devia ter dito.","Rui Rio, presidente do PSD",Parcialmente falso,https://www.publico.pt/2021/02/20/politica/noticia/prova-factos-psd-nao-alertou-riscos-flexibilizar-medidas-natal-1951448
"""Os portugueses virem a ser minoria no futuro é bom, vão finalmente entender o que nós pessoas racializadas sentimos.""","Frase atribuída por um militante do Chega a Beatriz Gomes Dias, vereadora da Câmara Municipal de Lisboa pelo Bloco de Esquerda",Falso,https://www.publico.pt/2023/03/06/politica/noticia/beatriz-gomes-dias-bom-portugueses-virem-minoria-2041277
“Temos uma emigração à volta de 84 mil pessoas por ano.”,"Rui Rio, no frente-a-frente com o líder do PS, António Costa",Parcialmente verdadeiro,https://www.publico.pt/2022/01/14/politica/noticia/ha-volta-84-mil-pessoas-ano-sair-pais-1991877
"“Ao longo do ano lectivo, foram colocados cerca de 27 mil horários em substituições (…) As carências de professores em 87,5% dos casos deveram-se a absentismo por baixa médica, numa média apenas ligeiramente superior à do resto da administração pública”","João Costa, ministro da Educação",Inconclusivo,https://www.publico.pt/2022/07/16/sociedade/noticia/carencias-professores-devemse-875-absentismo-baixa-medica-2013862
"A auditoria interna à derrapagem nas obras no antigo Hospital Militar de Belém, em Lisboa, “não está sujeita ao regime do segredo de Estado”. ","Ana Miguel dos Santos, deputada e coordenadora da bancada do PSD para a Defesa Nacional",Parcialmente verdadeiro,https://www.publico.pt/2021/07/10/politica/noticia/relatorio-derrapagem-custos-obras-hospital-militar-belem-segredo-estado-1969809
A União Europeia financia em muito mais o esforço de guerra do país invasor do que apoia financeiramente o país invadido.,"Rui Tavares, deputado do Livre",Verdadeiro,https://www.publico.pt/2022/04/16/mundo/noticia/economias-ue-pagam-russia-apoio-dao-ucrania-2002603
"“Não vou reunir com ninguém, vamos seguir o nosso caminho. Fomos eleitos com um programa, os resultados é que mandam sempre nas coisas, foram os melhores de sempre no judo”","Jorge Fernandes, presidente da Federação Portuguesa de Judo (FPJ)",Verdadeiro,https://www.publico.pt/2022/08/12/desporto/noticia/actual-direccao-federacao-obteve-melhores-resultados-judo-2017052
Assumimos actualmente a presidência [do Conselho da União Europeia] e temos um dever de neutralidade. Nós temos o papel de ‘mediador honesto’ que tem um preço: o preço é o de que não pudemos assinar o documento hoje,n/a,Verdadeiro,https://www.publico.pt/2021/06/25/politica/noticia/portugal-presidente-conselho-ue-neutralidade-1967839
Já no Verão de 2019 se colocou a possibilidade de encerramento faseado de urgências obstétricas na região de Lisboa e Vale do Tejo.,Requerimento do BE,Verdadeiro,https://www.publico.pt/2022/09/23/politica/noticia/encerramento-faseado-urgencias-obstetricas-lisboa-ja-pensado-2019-2021506
"“Nunca a Câmara Municipal de Setúbal celebrou ou mostrou disponibilidade para celebrar qualquer protocolo com o Alto-Comissariado para as Migrações no âmbito do acolhimento de pessoas deslocadas da Ucrânia, vítimas desta guerra”",Nota do gabinete do gabinete da ministra-adjunta e dos Assuntos Parlamentares,Verdadeiro,https://www.publico.pt/2022/05/14/politica/noticia/camara-setubal-mostou-disponivel-celebrar-protocolo-acm-2006086
Resultado de uma candidatura ao Mestrado Integrado em Medicina na Universidade Católica Portuguesa (UCP) foi partilhado nas redes sociais.,NONE,Verdadeiro,https://www.publico.pt/2022/09/27/sociedade/noticia/aluno-entrou-medicina-catolica-descendente-benemerito-universidade-2021964
,"“Temos conhecimento de que Espanha está a fechar a torneira aos rios portugueses”, Mariana Mortágua, deputada do Bloco de Esquerda",Falso,https://www.publico.pt/2022/10/14/azul/noticia/estado-espanhol-fechar-torneira-rios-portugueses-2024096
"“O 25 de Abril permitiu a libertação de antifascistas e democratas [em Portugal]. Na Ucrânia, acontece o contrário: há um poder que avançou no sentido da ilegalização do Partido Comunista da Ucrânia, que avançou para a ilegalização de um conjunto de partidos políticos no próprio país”","Paula Santos, líder parlamentar do PCP",Parcialmente falso,https://www.publico.pt/2022/04/22/politica/noticia/actual-ucrania-ilegalizou-partido-comunista-2003517
"Há muitos Parlamentos por esse mundo fora que têm medidas disciplinares, a Câmara dos Comuns, por exemplo. Aí não é preciso fazer um insulto que vá para lá de dizer que alguém faltou à verdade. Basta que alguém diga que um membro do Governo ou um deputado faltou à verdade e é retirado da Câmara até ao fim dos trabalhos parlamentares do dia.","Pedro Delgado Alves, vice-presidente da bancada do PS",Verdadeiro,https://www.publico.pt/2023/04/28/politica/noticia/ha-parlamentos-onde-deputados-podem-mandados-sair-sala-2047665
"Até Agosto, o Estado já arrecadou mais de 6 mil milhões de euros de impostos à conta da inflação.","Nuno Melo, presidente do CDS",Verdadeiro,https://www.publico.pt/2022/11/04/politica/noticia/estado-ja-arrecadou-6-mil-milhoes-euros-impostos-conta-inflacao-2026535
"“O PSD e Rui Moreira trocaram violentíssimas acusações durante a campanha e, nos debates, bateram no peito uns contra os outros, por vezes raiando o insulto. Rui Moreira chamou a um dirigente do PSD ‘o Putin de Paranhos’ (…)”.","Tiago Barbosa Ribeiro, candidato derrotado do PS e presidente da concelhia socialista no Porto, no seu perfil de Facebook, a 13 de Outubro de 2021",Verdadeiro,https://www.publico.pt/2021/10/15/politica/noticia/rui-moreira-chamou-putin-paranhos-dirigente-psd-1981263
"“Eu próprio já fui vítima de uma injustiça em 2016 por causa de uma ida de Falcon para ver um jogo da equipa portuguesa porque se achava que havia voo comercial, mas não havia. Acabei por pagar a viagem”.","Marcelo Rebelo de Sousa, Presidente da República",Parcialmente falso,https://www.publico.pt/2023/06/19/politica/noticia/2016-marcelo-pagou-bolso-viagem-falcon-lyon-2053848
"“Desde que descongelámos as carreiras, mais de 90% dos professores já progrediram dois escalões. Passámos de 7 professores no topo da carreira para quase 17 mil professores no topo da carreira”.","João Costa, Ministro da Educação",Verdadeiro,https://www.publico.pt/2023/02/27/sociedade/noticia/ha-quase-17-mil-professores-topo-carreira-ministro-educacao-2040408
“Eu disse que a inflação não ficaria abaixo dos 6%.”,"Joaquim Miranda Sarmento, líder da bancada parlamentar do PSD",Verdadeiro,https://www.publico.pt/2022/10/07/politica/noticia/psd-debate-oe2022-inflacao-nao-ficaria-abaixo-6-2023141
“O Chega defende sempre a diminuição do IRC mas o que temos dito é que só 20% das empresas é que pagam IRC.”,"André Ventura, líder do Chega",Falso,https://www.publico.pt/2022/09/30/politica/noticia/apenas-20-empresas-pagam-irc-2022291
"Todos os deputados do PSD estão adstritos, nos termos da Constituição e do regimento, a comissões parlamentares","Joaquim Miranda Sarmento, líder parlamentar do PSD",Verdadeiro,https://www.publico.pt/2023/06/23/politica/noticia/deputados-psd-pertencem-comissoes-parlamentares-2054443
O PS deu uma grande cambalhota e inverteu completamente as suas posições [sobre as novas alterações à lei eleitoral autárquica],"Hugo Carneiro, deputado do PSD",Parcialmente verdadeiro,https://www.publico.pt/2021/04/24/politica/noticia/ps-deu-cambalhota-lei-eleitoral-autarquica-1959795
“O modelo marginalista foi pensado num momento em que em Portugal havia 20% de renováveis. Hoje há 60%.”,"João Pedro Matos Fernandes, ministro do Ambiente e da Acção Climática em entrevista ao Expresso",Verdadeiro,https://www.publico.pt/2022/03/11/economia/noticia/portugal-60-electricidade-produzida-provem-energias-renovaveis-1998446
"“O Governo nunca propôs – repito, nunca – qualquer processo de municipalização do recrutamento de professores, aliás, rejeitando-o sempre.”","João Costa, ministro da Educação",Verdadeiro,https://www.publico.pt/2023/01/06/sociedade/noticia/governo-propos-municipalizacao-professores-garantiu-joao-costa-2034025
Aquilo que sabemos – e que todos podem observar – é que não há no Governo qualquer tipo de relação familiar. Foram definidas regras relativamente a relações familiares nos gabinetes dos membros do Governo. Foi definida uma lei. A lei deve ser cumprida. (21 de Outubro de 2019),"António Costa, primeiro-ministro",Verdadeiro,https://www.publico.pt/2022/03/28/politica/noticia/antonio-costa-nao-ha-governo-qualquer-tipo-relacao-familiar-2000426
"“Anunciei, há cerca de um mês, que iria ter uma solução para a [Avenida] Almirante Reis de retirar metade da ciclovia do lado direito.”","Carlos Moedas, presidente da Câmara Municipal de Lisboa",Verdadeiro,https://www.publico.pt/2022/05/27/politica/noticia/carlos-moedas-anunciado-ia-acabar-metade-ciclovia-almirante-reis-2007779
O adversário que tenho [Paulo Rangel] teve o pior resultado da história do PSD.,Rui Rio,Verdadeiro,https://www.publico.pt/2021/10/29/politica/noticia/prova-factos-paulo-rangel-pior-resultado-historia-psd-1982965
"“O Governo diz-nos que não pode fazer mais do que está a fazer, que o que causa a inflação é a guerra, nada pode fazer. Não é verdade, primeiro porque a inflação não começou com a guerra.""","Catarina Martins, coordenadora do Bloco de Esquerda",Parcialmente verdadeiro,https://www.publico.pt/2022/12/31/politica/noticia/inflacao-ja-subir-guerra-ucrania-2033291
"“Morreram 26 pessoas nas ciclovias em 2019, em Lisboa.”",O contexto,Falso,https://www.publico.pt/2021/09/08/politica/noticia/morreram-26-pessoas-ciclovias-lisboa-2019-carlos-moedas-1976713
"“[…] Durante 5 anos, 6 meses e 24 dias, Pedro Adão e Silva vai usufruir das melhores regalias que o Estado tem para oferecer. Isto para organizar as celebrações do 50º aniversário do 25 de Abril.”Rui Pinto, no Twitter",O contexto,Verdadeiro,https://www.publico.pt/2021/06/08/politica/noticia/pedro-adao-silva-vai-usufruir-melhores-regalias-estado-organizar-50-anos-25-abril-1965719
A Ucrânia tem vindo a implorar por defesa aérea desde Fevereiro. [O chanceler alemão] Olaf Sholz prometeu fornecer à Ucrânia [mísseis ar-ar infravermelhos de curto a médio alcance] Iris-T em Novembro. [O Presidente dos EUA] Joe Biden está a considerar a possibilidade de fornecer [sistemas de mísseis terra-ar] Patriots. Só a Rússia não espera. Imagens de mãe e filho às 9h38 e às 10h.,twitter,Verdadeiro,https://www.publico.pt/2022/07/15/mundo/noticia/imagem-corpo-menina-carrinho-bebe-encontrado-soldados-ucranianos-verdadeira-2013766
"PSD, PCP e Chega querem continuar a dar borlas aos toureiros, continuar a ter benefícios fiscais como, por exemplo, a isenção do Campo Pequeno, que são 12 milhões ao ano.",Inês de Sousa Real,Verdadeiro,https://www.publico.pt/2022/11/25/politica/noticia/psd-pcp-chega-defendem-isencao-imi-praca-touros-campo-2029012
"“Uma alternativa para ser forte tem de ter um partido liderante do hemisfério mais forte do que os outros. O PS, mesmo com aquelas formas originais dos dois governos anteriores, era muito mais forte em termos eleitorais e em termos políticos do que os demais.”","Marcelo Rebelo de Sousa, Presidente da República",Parcialmente verdadeiro,https://www.publico.pt/2023/03/11/politica/noticia/ps-eleitoralmente-forte-dentro-geringonca-psd-face-il-chega-2041931
"“Carlos Moedas, o presidente que cancelou 460 habitações a preços acessíveis no Restelo. Há a esquerda ideológica e a direita sem vergonha, que vê áreas da cidade como reservadas a alguns.”","Pedro Anastácio, vereador do PS na Câmara Municipal de Lisboa",Parcialmente verdadeiro,https://www.publico.pt/2023/02/24/local/noticia/carlos-moedas-cancelou-construcao-460-habitacoes-precos-acessiveis-restelo-2040015
"Berlim acabou com o alojamento local. Nova Iorque não tem alojamento local.Francisco César,Vice-presidente do grupo parlamentar do PS",O contexto,Falso,https://www.publico.pt/2023/03/31/economia/noticia/berlim-nova-iorque-acabaram-alojamento-local-2044456
"“Nenhum dos inspectores do SEF que estavam no centro entre 10 a 12 de Março [dias de permanência de Ihor Homenyuk] nem os seguranças que foram censurados pelo relatório da IGAI, estão em funções no aeroporto.”",Eduardo Cabrita Ministro da Administração Interna,Verdadeiro,https://www.publico.pt/2020/12/25/sociedade/noticia/verdade-ja-nao-aeroporto-inspectores-sef-visados-relatorio-igai-1944175
"""As Ordens decidiram reafirmar a sua preocupação com o teor das declarações de responsáveis políticos e outros que pretendem ligar esta revisão legislativa com exigências do PRR de redução das restrições ao acesso a profissões altamente reguladas, o que não corresponde à verdade""","Comunicado do Conselho Nacional das Ordens Profissionais (CNOP), 16 de Fevereiro de 2023",Verdadeiro,https://www.publico.pt/2023/02/17/economia/noticia/reforma-ordens-nao-exigencia-prr-2039399
"“Estamos a crescer novamente a uma média superior à do resto da Europa como aconteceu em 2017, 2018 e 2019”","António Costa, primeiro-ministro",Verdadeiro,https://www.publico.pt/2021/09/10/politica/noticia/portugal-ja-crescer-media-europeia-afirma-antonio-costa-1977051
"Consideramos imorais e ilegítimos quaisquer gestos de legitimação, e até de celebração, desta barbárie civilizacional. Foi por isso que, também na sequência de um repto lançado pela Frente Cívica, as Câmaras de Lisboa e do Porto fizeram saber que não instalariam nos seus espaços públicos quaisquer fan zones ou áreas para visualização colectiva dos jogos, na senda de decisões semelhantes já tomadas por inúmeras cidades europeias.",Carta da Frente Cívica,Parcialmente verdadeiro,https://www.publico.pt/2022/11/18/local/noticia/lisboa-porto-nao-vao-fun-zones-protesto-violacao-direitos-humanos-qatar-2028252
"“Desde 2012, existe uma legislação que diz tudo o que há a dizer sobre constituição de gabinetes (...) e estes procedimentos foram seguidos”","Mariana Vieira da Silva, ministra da Presidência",Verdadeiro,https://www.publico.pt/2022/11/11/politica/noticia/nomeacao-adjunto-21-anos-seguiu-procedimentos-legais-2027422
"Treze meses e 13 demissões depois de tomar posse, o Governo perdeu o Norte e está em agonia por sua culpa exclusiva. Independentemente do desfecho desta crise, o primeiro-ministro teve o seu canto de cisne.","Luís Montenegro, líder do PSD",Verdadeiro,https://www.publico.pt/2023/05/05/politica/noticia/ja-13-demissoes-neste-governo-montenegro-2048507
“A economia portuguesa não está a crescer [apenas] acima da média da União Europeia. A economia portuguesa está a crescer acima de cada um dos países da União Europeia.”,"Fernando Medina, ministro das Finanças",Parcialmente verdadeiro,https://www.publico.pt/2022/09/16/economia/noticia/portugal-crescer-paises-ue-medina-2020721
"Manuel Pizarro, quando era secretário de Estado da Saúde do Governo de José Sócrates, já recorreu a estes modelos de contratação e o Governo PSD/ CDS renovou a situação quando chegou ao poder.","Rui Rocha, presidente da IL sobre contratação de médicos cubanos pelo SNS",Verdadeiro,https://www.publico.pt/2023/07/08/politica/noticia/governo-psd-tambem-contratou-medicos-cubanos-sns-2056142
