Title,Text,URL
Uma árvore de Natal diferente em Proença-a-Nova,"Este ano, a árvore de Natal da Câmara Municipal de Proença-a-Nova é diferente e especial, pois é feita de pedaços de tronco queimados pelos incêndios.
 

“A arte tem esta particularidade de criar inquietude e o objetivo da Câmara é, por um lado, transmitir uma mensagem de esperança, em que a partir de um evento negativo podemos trazer e criar aspetos positivos; e, por outro, é uma chamada de atenção permanente para a responsabilidade que todos temos, a nível institucional e particular, de impedir que tragédias como as que afetaram o país em 2017 não se voltem a repetir”, explica o autarca João Lobo.

De referir que neste mês de dezembro a autarquia vai realizar 19 ações de sensibilização, estando previstas mais seis em janeiro. A temática são os incêndios florestais “porque é fundamental que todos conheçam os seus deveres em matéria de limpeza da floresta junto aos aglomerados populacionais para termos a condição de proteger, em primeira linha, pessoas e bens”, acrescenta.
“Depois, numa segunda fase, e com o processo de cadastro em andamento, avançar-se-á para uma gestão integrada e profissional deste importante recurso”, informa ainda João Lobo.
Para além dos troncos de pinheiro bravo, a árvore de Natal tem canecos em barro utilizados na tradicional recolha de resina, uma das atividades de maior importância na região em décadas anteriores, havendo diversos projetos que têm como objetivo recuperar a resinagem como atividade económica, com impacto na limpeza da floresta e prevenção de incêndios.
Em cada caneco estão plantadas árvores e arbustos autóctones que podem, de igual forma, ser fonte de rendimento (por exemplo, o medronho ou o pinheiro manso). Da autoria de Catarina Alves, escultora e técnica superior na câmara, a instalação artística está disponível para visita no átrio dos Paços do Concelho.
",https://arquivo.pt/wayback/20171222164854mp_/https://bombeiros24.pt/arvore-natal-diferente-proenca-nova/
GNR em Braga castigada por passar poucas multas,"Os militares da GNR do Sameiro, em Braga, estão a promover um baixo-assinado que contesta as medidas do comandante do posto que castiga quem passa poucas multas.
Os militares dizem estar “desmotivados e apavorados” com as medidas do comandante e alegam sofrer com coação e ameaças por parte do mesmo. Os militares podem avançar com queixa-crime contra o comandante.
Hélder Antunes é o nome do comandante que está a ser acusado de pressionar os militares no local de trabalho para que multem mais automobilistas.
Caso os militares da GNR não cumpram com o objetivo mensal de, pelo menos, 15 multas por contra-ordenações serão castigados.
Mudança de turnos e horários, proibição de trocar de serviço com um colega e ameaças com procedimentos disciplinares são alguns exemplos dos castigos propostos pelo comandante.",https://arquivo.pt/wayback/20180726174317mp_/https://bombeiros24.pt/gnr-em-braga-castigada-por-passar-poucas-multas/
Duas bombeiras ajudaram a dar à luz no meio da Ponte da Arrábida,"Duas bombeiras da corporação de Coimbrões ajudaram no parto de uma bebé na tarde de ontem.
A mãe, residente em Mafamude, estava a ser transportada para o hospital, e como o trabalho do parto ocorreu de forma rápida, a ambulância teve de parar no meio da Ponte da Arrábida por volta das 17h38 para que nascesse.
Após o parto, Juliana de 33 anos e a bebé recém nascida seguiram para o Hospital de S. João no Porto.
As duas aparentam estar bem de saúde e permanecem ainda no hospital.
",https://arquivo.pt/wayback/20180726174317mp_/https://bombeiros24.pt/duas-bombeiras-ajudaram-a-dar-a-luz-no-meio-da-ponte-da-arrabida/
Casal filma paraquedas incendiários em Pedrógão Pequeno,"Um casal divulgou um vídeo, no Facebook, onde é possível ver um objeto em chamas, a cair do céu, no que parece ser um método de incendiários igual ao que foi denunciado por Hernâni Carvalho, na SIC.

O acontecimento foi filmado em Pedrógão Pequeno, no passado domingo quando Portugal enfrentava os piores incêndios da sua história, com 42 mortos já confirmados, segundo dados atualizados nesta quarta-feira, pela Proteção Civil.
Em Pedrógão Pequeno, um casal depara-se com objetos em chamas, a cair do céu, semelhantes a balões de São João. Serão os “para-quedas incendiários”, uma técnica denunciada por Hernâni Carvalho, na SIC.

Os autores do vídeo expressam esse sentimento em palavras. Este vídeo pode bem ser uma metodologia de um crime imparável, em Portugal.

Fonte:
ptjornal
",https://arquivo.pt/wayback/20180420161058mp_/https://bombeiros24.pt/casal-filma-paraquedas-incendiarios-em-pedrogao-pequeno/
Ciúmes e amor não correspondido na origem da morte do jovem no Porto,"Miguel Ribeiro, jovem estudante de 20 anos foi encontrado, na madrugada de quarta-feira, ensanguentado numa das ruas mais movimentadas da Baixa do Porto.
O jovem terá sido esfaqueado por um amigo na sua própria residência. A discussão terá começado por causa de ciúmes e um amor não correspondido.
O agressor foi detido pela Polícia Judiciária. Os dois jovens tinham estado, algumas horas antes, num bar perto do local do homicídio.
O homícida com ciúmes terá seguido Miguel até casa, onde cometeu o crime. A namorada da vítima chegou ao local pouco tempo depois.

Miguel foi encontrado na rua cheio de sangue por um individuo que por lá passava, por volta das 5:30 da manhã. O alerta foi imediatamente dado e os serviços de emergência deslocaram-se até ao local.
O jovem falecido era estudante no Instituto Superior de Contabilidade e Administração do Porto.
",https://arquivo.pt/wayback/20180726174317mp_/https://bombeiros24.pt/ciumes-e-amor-nao-correspondido-na-origem-da-morte-do-jovem-no-porto/
Homem de 31 anos natural do Funchal suicida-se na Madeira,"Um homem de 31 anos atirou-se esta quarta feira à noite da Ponte dos Socorridos, depois de ter conduzido de carro até à ponte, parou no meio da via rápida no sentido Câmara de Lobos-Funchal e atirou-se.
O homem ia sozinho num carro vermelho da marca KIA e vivia no Caminho do Pilar segundo apurou o AgoraMadeira.
A ocorrência deu-se por volta das 21h20 desta quarta feira, e o cadáver foi encontrado por volta das 21h45 perto do estaleiro da Tâmega.
No local estiveram presentes seis elementos dos Bombeiros Voluntários de Câmara de Lobos e duas viaturas da Polícia de Segurança Pública.

 
",https://arquivo.pt/wayback/20180726174317mp_/https://bombeiros24.pt/homem-de-31-anos-natural-do-funchal-suicida-se-na-madeira/
Bombeiro da Póvoa de Lanhoso morre em queda do terceiro andar,"Rui Ribeiro tinha 38 anos e estava fora de serviço, em casa, na Rua Engenheiro Albino Pinto da Silva. Estava a colocar luzes de Natal em casa quando caiu da varanda do terceiro andar, equivalente a um quarto andar naquele prédio, situado em frente ao quartel dos bombeiros.
Devido à proximidade com local do acidente, os elementos da corporação, companheiros de Rui, prestaram auxílio imediato. O alerta foi às 21.56 horas. Também foi chamada a Viatura Médica de Emergência e Reanimação de Braga que participou no socorro.
o andarLocal do acidenteFoto Paulo Jorge Magalhães/global Imagens
Após receber assistência no local, a vítima foi transportada para o Hospital de Braga, onde entrou com vida, mas já nada havia a fazer e morreu uma hora depois.

Para além de ser um bombeiro muito ativo, Rui era funcionário da corporação. O comandante dos Bombeiros Voluntários da Póvoa de Lanhoso, António Veloso, manifestou o pesar pela morte de “uma pessoa querida, um bom bombeiro, muito dinâmico e um homem de família que ainda era muito jovem e estava na flor da idade”. Os elementos da corporação estão, naturalmente, consternados com a notícia do trágico acidente.
No local do acidente esteve a GNR da Póvoa de Lanhoso e uma equipa de psicólogos do INEM que prestaram apoio à família, o que é habitual nestes casos. Rui era casado e deixa dois filhos menores.
",https://arquivo.pt/wayback/20171222164854mp_/https://bombeiros24.pt/bombeiro-da-povoa-lanhoso-morre-queda-do-terceiro-andar/
Fernando Rocha arrasa Presidente da Raríssimas num vídeo novo,"O comediante Fernando Rocha voltou com um vídeo nas redes sociais onde arrasou por completo a Paula Brito e Costa, senhora que tem vindo a ser o centro de uma polémica à volta da associação que ajuda pessoas com deficiências mentais e raras.
O motivo que levou o comediante a fazer o vídeo foram as recentes declarações da Presidente da Raríssimas, que disse que só deixava o seu cargo com uma indemnização e subsídio de desemprego.
Estas declarações deixou muita gente revoltada, pois mesmo após desviar tanto dinheiro da associação, ainda é capaz de exigir estas condições. Chegou a tal ponto que o comediante decidiu usufruir da sua liberdade de expressão e comentar o que achava desta atitude num vídeo sobre as declaração da mesma.
",https://arquivo.pt/wayback/20171222164854mp_/https://bombeiros24.pt/fernando-rocha-arrasa-presidente-da-rarissimas-num-video-novo/
Idoso engana burlão e em vez de levantar dinheiro chama a polícia,"A PSP de Santa Maria da Feira identificou um homem, de 44 anos, por tentativa de burla a um idoso, naquela localidade, informou hoje aquela força policial.
Segundo um comunicado da PSP, o suspeito abordou a vítima num parque de estacionamento junto a um estabelecimento comercial, tendo tentado vender um saco com diversas embalagens de perfumes por 200 euros, argumentando que estes produtos valeriam dez vezes mais.
“A vítima, de 70 anos, disse-lhe que não tinha a quantia em dinheiro e que iria efetuar o seu levantamento no multibanco próximo, ludibriando o suspeito, uma vez que se deslocou ao Posto Territorial de Santa Maria da Feira, onde denunciou a situação”, refere a mesma nota.
A PSP veio a localizar o burlão, após uma operação policial, tendo apreendido vários objetos que se encontravam na sua viatura e que seriam utilizados para efetuar as burlas, nomeadamente, oito facas, dois ‘smart watch’, diversas embalagens de perfumes, duas máquinas de barbear e uma motosserra.

A mesma nota realça ainda que a vítima já teria sido alvo de burla pelo mesmo indivíduo há cerca de quatro anos, junto a outro estabelecimento comercial, também em Santa Maria da Feira.
De acordo com a PSP, o indivíduo encontra-se referenciado em diversas situações da mesma natureza, noutros locais do país, tendo a situação sido reportada ao Ministério Público.
",https://arquivo.pt/wayback/20180414080354mp_/https://bombeiros24.pt/idoso-engana-burlao-e-em-vez-de-levantar-dinheiro-chama-a-policia/
A Vida de Tantos nas Mãos de Tão Poucos,"“Só Para Bravos” é uma história verídica com um elenco de luxo, realizado por Joseph Kosinski (“Oblivion” e “Tron: Legacy”), que nos fará lembrar os desastres ocorridos com os incêndios que tivemos ao longo do território nacional durante este verão.
O filme conta-nos então a história de um grupo de bombeiros, denominado “Granite Mountain Hotshots”, que arriscaram as suas vidas para conter um gigantesco incêndio que deflagrava no Arizona, em 2007. No elenco temos grandes nomes como: Josh Brolin, Miles Teller, Jeff Bridges, Taylor Kitsch, Jennifer Connelly e Andie MacDowell.
Sinopse: Todos os homens são criados da mesma maneira… depois, só alguns deles se tornam bombeiros. É a história heróica de uma unidade elite de bombeiros que, através da esperança, determinação, sacrifício e o impulso para proteger famílias, comunidades e o seu país são para eles o ato mais importante da vida.
Na minha opinião esta é uma história a não perder, com a qual qualquer um de nós se irá identificar, devido à proximidade da ficção com a realidade, trazendo novamente à memória os incêndios que abalaram o nosso país.

Vamos conhecer de perto, a batalha dos bombeiros nestes momentos críticos, ver a aflição que sentem para que o fogo não chegue à casa das populações e das suas famílias, enquanto ao mesmo tempo lutam para se manterem vivos naquele que pode ser considerado um mar de fogo, como vemos no trailer.
Devemos ainda presenciar as relações familiares destes heróis, enquanto tentam conjugar a vida profissional com a vida pessoal, tentando mostrar os riscos deste trabalho, em que se sai de casa sem nunca saber se será a última vez, já que o trabalho envolve sempre arriscar a vida em prol dos outros.
Será sem dúvidas um grande filme a não perder, tocante e emotivo, que não deixará ninguém indiferente e que talvez ainda ajude a sensibilizar quem o vê.
",https://arquivo.pt/wayback/20180414080354mp_/https://bombeiros24.pt/vida-tantos-nas-maos-tao/
